0, map_preloadres()
4543,  pos=4Î»ÖÃÍæ¼Ò¿ªÊ¼¶ÏÏß±£»¤
33113, i=:2    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 2 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =Âí³¬ ,tab_infor[i].kill_num =4 , tab_infor[i].death_num =0 ,tab_infor[i].use_id =73996569 ,tab_infor[i].disconnectiontime= 0
33113, i=:3    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 3 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =¼ÖÚ¼ ,tab_infor[i].kill_num =1 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =124265869 ,tab_infor[i].disconnectiontime= 0
33113, i=:4    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 4 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =ÎÞ ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =0 ,tab_infor[i].use_id =124504996 ,tab_infor[i].disconnectiontime= 0
33113, i=:5    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 5 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =ÕÔÔÆ ,tab_infor[i].kill_num =2 , tab_infor[i].death_num =4 ,tab_infor[i].use_id =100847864 ,tab_infor[i].disconnectiontime= 0
33113, i=:6    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 6 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =ÏÄºî¶÷ ,tab_infor[i].kill_num =5 , tab_infor[i].death_num =3 ,tab_infor[i].use_id =112246087 ,tab_infor[i].disconnectiontime= 0
33113, i=:7    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 7 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =ËïÈ¨ ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =116924910 ,tab_infor[i].disconnectiontime= 0
33113, i=:8    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 8 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =¸ßË³ ,tab_infor[i].kill_num =6 , tab_infor[i].death_num =5 ,tab_infor[i].use_id =60047112 ,tab_infor[i].disconnectiontime= 0
33113, i=:9    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 9 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =¹ù¼Î ,tab_infor[i].kill_num =4 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =83275412 ,tab_infor[i].disconnectiontime= 0
33113, i=:10    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 10 ,tab_infor[i].side =1 ,tab_infor[i].hero_id =Ë¾ÂíÜ² ,tab_infor[i].kill_num =3 , tab_infor[i].death_num =3 ,tab_infor[i].use_id =109175625 ,tab_infor[i].disconnectiontime= 0
33113, i=:11    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 11 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =ËïÉÐÏã ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =3 ,tab_infor[i].use_id =72581019 ,tab_infor[i].disconnectiontime= 0
33113, i=:12    ,tab_infor[i].isfree:1 ,tab_infor[i].control= 12 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =²Üºé ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =0 ,tab_infor[i].disconnectiontime= 0
33113, i=:13    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 13 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =Âíá· ,tab_infor[i].kill_num =0 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =83708895 ,tab_infor[i].disconnectiontime= 0
33113, i=:14    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 14 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =µË°¬ ,tab_infor[i].kill_num =1 , tab_infor[i].death_num =3 ,tab_infor[i].use_id =45123899 ,tab_infor[i].disconnectiontime= 0
33113, i=:15    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 15 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =½¯çþ ,tab_infor[i].kill_num =2 , tab_infor[i].death_num =1 ,tab_infor[i].use_id =109958209 ,tab_infor[i].disconnectiontime= 0
33113, i=:16    ,tab_infor[i].isfree:0 ,tab_infor[i].control= 16 ,tab_infor[i].side =2 ,tab_infor[i].hero_id =·¨Õý ,tab_infor[i].kill_num =4 , tab_infor[i].death_num =2 ,tab_infor[i].use_id =102945227 ,tab_infor[i].disconnectiontime= 0
